time,mz,charge,intensity,RT_length,points,scans,peaks,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,rt_start,rt_end,Ttime,sample,fraction,status,group,mz_error,score,adj_score
69.9,1177.3502,5,23775000.0,0.186667,15,9,2,1177.3502,24.502942,1177.35,7.376121,0.000207,69.806667,69.993333,71.747613,A2,F1,use,1177.33_1177.36_0,0.0002,0.991463,1.189756
72.5,1190.3407,5,77941000.0,0.49,91,40,3,1190.3407,26.215879,1190.34,7.891766,0.000797,72.255,72.745,74.559712,A1,F1,use,1190.32_1190.35_1,0.0003,0.99099,1.386121
72.6,1190.341,5,55447000.0,0.5,153,42,6,1190.341,25.724606,1190.34,7.743878,0.000482,72.35,72.85,74.521121,A2,F1,use,1190.32_1190.35_1,0.0013,0.972178,1.166613
72.2,1190.3423,5,106790000.0,0.38,111,24,8,1190.3423,26.670201,1190.34,8.028531,0.001092,72.01,72.39,74.251189,A1,F1,use,1190.32_1190.35_2,0.0004,0.984665,1.379796
72.5,1190.3427,5,158290000.0,0.768333,149,57,8,1190.3427,27.237995,1190.34,8.199453,0.001576,72.115833,72.884167,74.25254,A3,F1,use,1190.32_1190.35_2,0.0004,0.984665,1.181598
70.1,1196.5388,5,119150000.0,0.4,36,16,3,1196.5388,26.828204,1196.54,8.076094,0.001187,69.9,70.3,71.786604,A3,F1,use,1196.52_1196.55_1,0.0002,0.991443,1.189732
69.9,1196.539,5,134190000.0,0.34,50,18,3,1196.539,26.999702,1196.54,8.12772,0.001166,69.73,70.07,71.747613,A2,F1,use,1196.52_1196.55_1,0.0002,0.991443,1.189732
69.9,1196.5392,5,126070000.0,0.39,48,20,3,1196.5392,26.90965,1196.54,8.100612,0.001289,69.705,70.095,71.885847,A1,F1,use,1196.52_1196.55_1,0.0004,0.990453,1.188543
70.1,1197.3408,5,65903000.0,0.271667,31,11,4,1197.3408,25.973841,1197.34,7.818905,0.000656,69.964167,70.235833,71.786604,A3,F1,use,1197.32_1197.35_1,0.0004,0.991109,1.189331
69.9,1197.3412,5,75038000.0,0.295,43,16,4,1197.3412,26.161118,1197.34,7.875281,0.000652,69.7525,70.0475,71.747613,A2,F1,use,1197.32_1197.35_1,0.0004,0.991109,1.189331
69.9,1197.3402,5,59599000.0,0.273333,27,14,3,1197.3402,25.828785,1197.34,7.775239,0.000609,69.763333,70.036667,71.885847,A1,F1,use,1197.32_1197.35_1,0.0006,0.98995,1.18794
70.4,1199.2008,5,211660000.0,0.305,73,17,7,1199.2008,27.657173,1199.2,8.325639,0.002108,70.2475,70.5525,72.094846,A3,F1,use,1199.18_1199.21_1,0.0006,0.990077,1.188092
70.2,1199.2017,5,154230000.0,0.213333,45,10,7,1199.2017,27.200508,1199.2,8.188169,0.001577,70.093333,70.306667,72.194369,A1,F1,use,1199.18_1199.21_1,0.0015,0.988873,1.186647
70.3,1199.2002,5,218570000.0,0.33,100,21,8,1199.2002,27.70352,1199.2,8.339591,0.0019,70.135,70.465,72.158503,A2,F1,use,1199.18_1199.21_1,0.0015,0.988873,1.186647
62.7,1231.3918,5,152250000.0,0.795,286,55,8,1231.3918,27.181867,1231.39,8.182557,0.001323,62.3025,63.0975,64.351591,A2,F1,use,1231.37_1231.4_1,0.0002,0.986945,1.382292
62.8,1231.3916,5,130230000.0,0.813333,281,53,7,1231.3916,26.956487,1231.39,8.114711,0.001297,62.393333,63.206667,64.286049,A3,F1,use,1231.37_1231.4_1,0.0002,0.986945,1.184335
69.5,1250.4379,5,37355000.0,0.201667,37,11,4,1250.4379,25.154798,1250.44,7.572349,0.000372,69.399167,69.600833,71.17012,A3,F1,use,1250.42_1250.45_0,0.0002,0.991033,1.18924
69.4,1250.4377,5,62111000.0,0.196667,20,10,3,1250.4377,25.888345,1250.44,7.793169,0.00054,69.301667,69.498333,71.234,A2,F1,use,1250.42_1250.45_0,0.0002,0.991033,1.18924
15.7,307.99406,5,402590.0,0.39,59,43,2,307.99406,18.618952,307.99,5.604863,4e-06,15.505,15.895,15.832926,A3,F1,use,307.97_308.0_0,0.00011,0.983392,1.180071
15.0,307.99395,5,695910.0,0.228333,39,23,2,307.99395,19.408541,307.99,5.842553,6e-06,14.885833,15.114167,15.352943,A2,F1,use,307.97_308.0_0,0.00011,0.983392,1.180071
8.09,310.00777,5,318460.0,0.077833,16,13,2,310.00777,18.280753,310.01,5.503055,3e-06,8.051083,8.128917,8.319835,A1,F1,use,309.99_310.02_0,3e-05,0.989638,1.187565
8.11,310.00774,5,1008200.0,0.085333,18,13,2,310.00774,19.94335,310.01,6.003547,9e-06,8.067333,8.152667,8.27536,A2,F1,use,309.99_310.02_0,3e-05,0.989638,1.187565
4.63,322.91626,5,182070.0,0.084,17,14,2,322.91626,17.474134,322.92,5.260238,2e-06,4.588,4.672,4.311704,A3,F1,use,322.91_322.94_1,3e-05,0.961297,1.153556
3.44,322.91623,5,196880.0,0.065667,15,10,2,322.91623,17.586957,322.92,5.294202,2e-06,3.407167,3.472833,3.370612,A2,F1,use,322.91_322.94_1,3e-05,0.961297,1.153556
0.285,322.91663,5,628830.0,0.102167,25,17,2,322.91663,19.262311,322.92,5.798533,6e-06,0.233917,0.336083,0.293097,A1,F1,use,322.91_322.94_1,0.0004,0.535673,0.642808
10.5,323.00488,5,90963.0,0.045,10,7,2,323.00488,16.472992,323.0,4.958865,9.058912e-07,10.4775,10.5225,10.342973,A3,F1,use,322.98_323.01_1,0.00028,0.969708,1.315492
9.66,323.0046,5,74852.0,0.021833,5,3,2,323.0046,16.191753,323.0,4.874203,6.506386e-07,9.649083,9.670917,9.86756,A2,F1,use,322.98_323.01_1,0.00028,0.969708,1.163649
