mz,mostAbundantMz,charge,rtStart,rtApex,rtEnd,fwhm,nIsotopes,nScans,averagineCorr,mass,massCalib,intensityApex,intensitySum,Tmz,intensity,rt_start,time,rt_end,Tintensity,Tintensity10,Pintensity,Tmass,Ttime,sample,fraction,status,group,mz_error,score,adj_score
1199.400693,1199.801529,5,70.173728,70.2449,70.484911,0.262248,8,20,0.991819,5990.964035,5990.964453,9471432.5,319575219.8,1199.400693,319575219.8,70.173728,70.2449,70.484911,28.25158,8.504573,0.000939,1199.4,72.108197,A2,F1,use,1199.38_1199.41_1,0.000321,0.989612,1.187534
1199.403312,1199.601963,5,70.106252,70.167168,70.301298,0.258588,4,9,0.934433,5989.965934,5989.965836,6737837.75,89828934.56,1199.403312,89828934.56,70.106252,70.167168,70.301298,26.420677,7.953416,0.000394,1199.4,72.252273,A1,F1,use,1199.38_1199.41_1,0.00294,0.985863,1.183036
1199.400372,1199.799405,5,70.486464,70.533913,70.627261,1.420028,5,8,0.9531,5990.954275,5990.954419,4942542.25,81474952.88,1199.400372,81474952.88,70.486464,70.533913,70.627261,26.279853,7.911024,0.000361,1199.4,72.250141,A3,F1,use,1199.38_1199.41_1,0.00294,0.985863,1.183036
1231.592927,1231.994908,5,62.381635,62.596206,62.929724,0.361547,6,30,0.933837,6151.926709,6151.926372,3058702.5,209872134.3,1231.592927,209872134.3,62.381635,62.596206,62.929724,27.644935,8.321955,0.00092,1231.59,64.456329,A1,F1,use,1231.57_1231.6_1,0.000785,0.986419,1.381637
1231.592142,1231.994943,5,62.251164,62.727383,62.996842,0.397097,7,43,0.975946,6151.923368,6151.923921,6498478.25,620082013.7,1231.592142,620082013.7,62.251164,62.727383,62.996842,29.207884,8.792449,0.001822,1231.59,64.387021,A2,F1,use,1231.57_1231.6_1,0.000258,0.994332,1.193198
1231.5924,1231.994325,5,62.451872,62.818893,63.294677,0.436508,7,50,0.990666,6151.922744,6151.923592,6618934.0,771604561.3,1231.5924,771604561.3,62.451872,62.818893,63.294677,29.523286,8.887395,0.00342,1231.59,64.331887,A3,F1,use,1231.57_1231.6_1,0.000258,0.994332,1.193198
1259.969882,1260.165439,5,72.181938,72.348921,72.444569,0.225849,4,18,0.929035,6292.783536,6292.783782,1494505.188,52885762.53,1259.969882,52885762.53,72.181938,72.348921,72.444569,25.656376,7.723339,0.000155,1259.97,74.269219,A2,F1,use,1259.95_1259.98_0,0.003378,0.97147,1.165764
1259.966504,1260.163091,5,72.1192,72.26119,72.363173,0.20796,5,12,0.994006,6292.781266,6292.781259,2450457.438,61169848.91,1259.966504,61169848.91,72.1192,72.26119,72.363173,25.866317,7.786537,0.000268,1259.97,74.408521,A1,F1,use,1259.95_1259.98_0,0.003378,0.97147,1.165764
1282.012112,1282.413975,5,69.4251,69.477342,69.543284,0.404016,6,7,0.965592,6404.025206,6404.025083,2074697.5,40290266.94,1282.012112,40290266.94,69.4251,69.477342,69.543284,25.263928,7.6052,0.000179,1282.01,71.165737,A3,F1,use,1281.99_1282.02_0,0.001944,0.98327,1.179923
1282.014056,1282.215914,5,69.324743,69.390897,69.408778,-3.620258,4,4,0.951344,6403.027362,6403.027738,1444914.625,15675191.0,1282.014056,15675191.0,69.324743,69.390897,69.408778,23.90198,7.195213,6.9e-05,1282.01,71.452934,A1,F1,use,1281.99_1282.02_0,0.001944,0.98327,1.179923
300.884432,300.884432,5,0.531035,0.536372,0.547485,-0.006666,2,3,0.999961,1499.389121,1499.388675,12805.8457,44587.42236,300.884432,44587.42236,0.531035,0.536372,0.547485,15.444349,4.649212,1.976303e-07,300.88,0.408674,A3,F1,use,300.86_300.89_1,0.00016,0.980552,1.373517
300.884593,300.884593,5,0.400894,0.406843,0.442986,-0.071684,2,7,0.908876,1499.388595,1499.38886,53385.54688,288915.6636,300.884593,288915.6636,0.400894,0.406843,0.442986,18.140289,5.460771,1e-06,300.88,0.418933,A1,F1,use,300.86_300.89_1,0.00016,0.980552,1.176663
303.029626,303.029626,5,13.623246,13.640665,13.675931,0.082415,2,9,0.897775,1510.112996,1510.112603,10808.76611,92271.48071,303.029626,92271.48071,13.623246,13.640665,13.675931,16.493597,4.965067,4.089861e-07,303.03,13.85817,A3,F1,use,303.01_303.04_1,4e-06,0.979921,1.371929
303.02963,303.02963,5,13.065779,13.140101,13.187274,0.043089,2,20,0.852328,1510.112524,1510.112773,28859.55078,377957.4097,303.02963,377957.4097,13.065779,13.140101,13.187274,18.527864,5.577443,2e-06,303.03,13.530575,A1,F1,use,303.01_303.04_1,4e-06,0.979921,1.175905
304.907404,304.907404,5,0.266911,0.279311,0.312989,0.013944,2,7,0.918443,1519.491347,1519.491664,13799.76855,139350.4146,304.907404,139350.4146,0.266911,0.279311,0.312989,17.088358,5.144108,6.106136e-07,304.91,0.287611,A1,F1,use,304.89_304.92_0,0.000568,0.979234,1.175081
304.906835,304.906835,5,0.28197,0.292669,0.318486,-0.006057,2,5,0.935395,1519.490499,1519.490311,13961.98145,86950.23486,304.906835,86950.23486,0.28197,0.292669,0.318486,16.407902,4.939271,2.555481e-07,304.91,0.260863,A2,F1,use,304.89_304.92_0,0.000568,0.979234,1.175081
306.858079,306.858079,5,8.093015,8.137308,8.142883,-0.075885,2,6,0.799308,1529.270688,1529.270983,44150.88281,198437.416,306.858079,198437.416,8.093015,8.137308,8.142883,17.598325,5.297624,8.695244e-07,306.86,8.379118,A1,F1,use,306.84_306.87_1,0.00071,0.979193,1.175041
306.858789,306.858789,5,8.670405,8.727029,8.739195,0.360461,2,9,0.998866,1529.257125,1529.256811,40959.33203,271748.167,306.858789,271748.167,8.670405,8.727029,8.739195,18.051911,5.434167,1e-06,306.86,8.815095,A3,F1,use,306.84_306.87_1,0.00071,0.979193,1.175032
306.942868,306.942868,5,0.908772,0.960027,1.018788,0.067436,2,18,0.671705,1529.674929,1529.675139,75012.32031,688457.2119,306.942868,688457.2119,0.908772,0.960027,1.018788,19.393007,5.837877,3e-06,306.94,0.988555,A1,F1,use,306.92_306.95_0,9.1e-05,0.980433,1.176519
