charge,scan_number,time,rt_start,rt_end,intensity,goodness_fit,mz,Tmz,Tintensity,Tintensity10,Pintensity,Tmass,Ttime,sample,fraction,status,group,mz_error,score,adj_score
4,9,69.293158,69.145066,69.320438,1114855.729,0.985602,1053.999634,1053.999634,23.027621,6.932005,4.5e-05,1054.0,87.453026,A3,F1,use,1053.98_1054.01_1,0.001343,0.970901,1.165081
4,8,69.050952,68.966655,69.119923,662006.4627,0.991288,1053.998291,1053.998291,21.954944,6.609097,2.1e-05,1054.0,87.520811,A2,F1,use,1053.98_1054.01_1,0.001343,0.970901,1.165081
4,13,69.075752,68.983923,69.213496,1304246.365,0.987876,1053.99939,1053.99939,23.385345,7.03969,5.8e-05,1054.0,87.170702,A1,F1,use,1053.98_1054.01_1,0.000244,0.968888,1.162666
4,3,69.080077,69.080077,69.119923,117716.2539,0.986035,1054.504639,1054.504639,19.463412,5.859071,4e-06,1054.5,87.557791,A2,F1,use,1054.48_1054.51_0,0.001587,0.934504,1.121405
4,4,68.991623,68.983923,69.048852,103025.857,0.997493,1054.503052,1054.503052,19.723207,5.937277,5e-06,1054.5,87.064535,A1,F1,use,1054.48_1054.51_0,0.001587,0.934504,1.121405
4,4,68.386324,68.302408,68.386324,6624300.17,0.709677,1054.756714,1054.756714,25.598532,7.705926,0.000268,1054.76,86.304511,A3,F1,use,1054.74_1054.77_1,0.004394,0.929528,1.297974
4,5,68.17861,68.17861,68.238851,4514712.93,0.978213,1054.761108,1054.761108,25.176763,7.578961,0.0002,1054.76,86.038546,A1,F1,use,1054.74_1054.77_1,0.001831,0.954584,1.145501
4,5,68.436394,68.436394,68.522806,10903064.2,0.92199,1054.759277,1054.759277,26.317426,7.922335,0.000442,1054.76,86.367925,A3,F1,use,1054.74_1054.77_2,0.001709,0.912702,1.281148
4,3,68.34804,68.34804,68.381534,3161057.157,0.865928,1054.760986,1054.760986,24.210434,7.288067,0.000103,1054.76,86.628314,A2,F1,use,1054.74_1054.77_2,0.001709,0.912702,1.095243
4,7,73.212779,73.122618,73.266056,520076.1234,0.980298,1076.744629,1076.744629,21.927559,6.600853,2.1e-05,1076.74,92.417271,A3,F1,use,1076.72_1076.75_0,0.003418,0.932622,1.119146
4,3,73.092721,73.092721,73.134391,105194.854,0.88506,1076.741211,1076.741211,19.301163,5.810229,3e-06,1076.74,92.6527,A2,F1,use,1076.72_1076.75_0,0.003418,0.932622,1.119146
4,9,64.653702,64.60275,64.690937,4850831.315,0.94034,1082.29248,1082.29248,25.28036,7.610147,0.000215,1082.29,81.59026,A1,F1,use,1082.27_1082.3_1,0.001709,0.947343,1.331418
4,7,64.770091,64.766447,64.893998,5658777.712,0.93399,1082.294189,1082.294189,25.371255,7.637509,0.000229,1082.29,81.724511,A3,F1,use,1082.27_1082.3_1,0.002075,0.968934,1.162721
4,9,64.537958,64.505442,64.617999,10994431.39,0.94866,1082.292114,1082.292114,26.008728,7.829407,0.000357,1082.29,81.790601,A2,F1,use,1082.27_1082.3_1,0.002075,0.968934,1.162721
4,4,66.888338,66.82778,66.888338,239113.5759,0.926737,1090.177734,1090.177734,20.485795,6.166839,8e-06,1090.18,84.77491,A2,F1,use,1090.16_1090.19_0,0.006226,0.771372,0.925646
4,3,66.828456,66.828456,66.86681,267268.353,0.895706,1090.18396,1090.18396,21.098489,6.351278,1.2e-05,1090.18,84.334709,A1,F1,use,1090.16_1090.19_0,0.006226,0.771372,0.925646
4,4,56.797663,56.797663,56.847829,1116380.596,0.944307,1109.503784,1109.503784,23.029593,6.932598,4.5e-05,1109.5,71.62734,A3,F1,use,1109.48_1109.51_0,0.003296,0.948651,1.138381
4,11,57.462127,57.362171,57.503134,3260672.596,0.936878,1109.500488,1109.500488,24.707298,7.437638,0.000145,1109.5,72.514794,A1,F1,use,1109.48_1109.51_0,0.003296,0.948651,1.138381
4,8,75.461821,75.361986,75.504608,325180.9495,0.953332,1114.093872,1114.093872,20.929341,6.30036,1.1e-05,1114.09,95.660778,A2,F1,use,1114.07_1114.1_0,0.003174,0.953819,1.144582
4,11,75.54718,75.447542,75.643259,1615831.962,0.937343,1114.090698,1114.090698,23.563041,7.093182,6.5e-05,1114.09,95.373816,A3,F1,use,1114.07_1114.1_0,0.003174,0.953819,1.144582
4,4,52.723666,52.656155,52.723666,2148272.675,0.901525,1135.316528,1135.316528,23.973941,7.216875,8.7e-05,1135.32,66.467577,A3,F1,use,1135.31_1135.34_0,0.000244,0.99376,1.192512
4,6,52.811394,52.807439,52.926092,1029395.907,1.0,1135.316284,1135.316284,23.043926,6.936913,4.6e-05,1135.32,66.645764,A1,F1,use,1135.31_1135.34_0,0.000244,0.99376,1.192512
4,3,71.699019,71.667774,71.706732,566922.018,0.803316,1137.039917,1137.039917,22.051986,6.638309,2.3e-05,1137.04,90.500076,A3,F1,use,1137.02_1137.05_1,0.001343,0.951667,1.142
4,4,71.488379,71.438923,71.529189,327674.0978,0.926317,1137.038574,1137.038574,21.392462,6.439773,1.5e-05,1137.04,90.215336,A1,F1,use,1137.02_1137.05_1,0.001343,0.951667,1.142
4,7,71.665092,71.47313,71.670738,1419749.046,0.879681,1137.03894,1137.03894,23.055663,6.940446,4.6e-05,1137.04,90.84002,A2,F1,use,1137.02_1137.05_1,0.000977,0.951422,1.141706
4,5,72.372504,72.35298,72.416619,4252170.013,0.942611,1151.552856,1151.552856,24.638226,7.416845,0.000138,1151.55,91.73823,A2,F1,use,1151.53_1151.56_1,0.000732,0.965655,1.158786
4,3,72.521799,72.475208,72.521799,3025915.772,0.925868,1151.552124,1151.552124,24.468136,7.365643,0.000123,1151.55,91.542137,A3,F1,use,1151.53_1151.56_1,0.000732,0.965655,1.158786
4,3,72.325425,72.302177,72.351737,1637019.761,0.882218,1151.553101,1151.553101,23.7132,7.138385,7.3e-05,1151.55,91.271653,A1,F1,use,1151.53_1151.56_1,0.000977,0.957075,1.14849
4,28,66.267837,66.16684,66.608701,54562884.22,0.94887,1157.503052,1157.503052,28.640612,8.621683,0.00221,1157.5,83.621423,A3,F1,use,1157.48_1157.51_0,0.001098,0.978523,1.174228
4,27,66.080274,65.895284,66.341242,46457251.15,0.926142,1157.50415,1157.50415,28.53996,8.591384,0.002061,1157.5,83.390534,A1,F1,use,1157.48_1157.51_0,0.001098,0.978523,1.174228
4,14,64.944643,64.678896,64.994189,7698292.998,0.936399,1161.501709,1161.501709,25.494565,7.674629,0.00025,1161.5,82.306974,A2,F1,use,1161.48_1161.51_1,0.001343,0.965815,1.158978
4,13,65.109361,65.021484,65.211884,2940350.214,0.950058,1161.503052,1161.503052,24.558116,7.39273,0.00013,1161.5,82.165283,A1,F1,use,1161.48_1161.51_1,0.006226,0.889758,1.06771
4,11,65.02564,64.871774,65.113563,6134922.293,0.94098,1161.496826,1161.496826,25.487809,7.672595,0.000249,1161.5,82.048166,A3,F1,use,1161.48_1161.51_1,0.006226,0.889758,1.06771
4,3,64.772078,64.751303,64.794365,1134461.894,0.817798,1161.507202,1161.507202,23.184137,6.979121,5e-05,1161.51,81.739646,A1,F1,use,1161.51_1161.54_0,0.002197,0.919818,1.103781
4,5,65.209423,65.154267,65.209423,2842790.649,0.912483,1161.509399,1161.509399,24.378072,7.338531,0.000115,1161.51,82.28093,A3,F1,use,1161.51_1161.54_0,0.002197,0.919818,1.103781
4,9,66.267091,66.19948,66.331762,13177625.9,0.924535,1161.760864,1161.760864,26.590783,8.004623,0.000534,1161.76,83.620478,A3,F1,use,1161.74_1161.77_1,0.000244,0.984705,1.560588
4,5,66.07687,66.031683,66.13288,9798630.591,0.844739,1161.761108,1161.761108,26.294709,7.915496,0.000435,1161.76,83.386239,A1,F1,use,1161.74_1161.77_1,0.005493,0.782326,0.938792
4,5,65.227114,65.227114,65.271428,1703230.411,0.75453,1161.755615,1161.755615,23.639038,7.116059,6.9e-05,1161.76,82.303335,A3,F1,use,1161.74_1161.77_2,0.001587,0.989411,1.565293
4,8,65.083852,65.055401,65.245072,4506365.121,0.81433,1161.754028,1161.754028,24.721991,7.442061,0.000146,1161.75,82.48373,A2,F1,use,1161.74_1161.77_2,0.001587,0.989411,1.368352
4,12,66.374668,66.331762,66.529789,14134428.47,0.909852,1161.76416,1161.76416,26.691906,8.035064,0.000573,1161.76,83.756726,A3,F1,use,1161.74_1161.77_3,0.001343,0.905297,1.481179
4,10,66.185989,66.133895,66.2786,14715011.53,0.97567,1161.762817,1161.762817,26.429244,7.955995,0.000477,1161.76,83.883128,A2,F1,use,1161.74_1161.77_3,0.001343,0.905297,1.284238
4,4,69.698977,69.669963,69.749814,1230940.977,0.847701,1172.490112,1172.490112,23.30189,7.014568,5.5e-05,1172.49,87.957186,A1,F1,use,1172.47_1172.5_0,0.000854,0.950435,1.140522
4,8,69.659417,69.655447,69.814239,3091808.854,0.861545,1172.489258,1172.489258,24.178478,7.278447,0.0001,1172.49,88.293387,A2,F1,use,1172.47_1172.5_0,0.000854,0.950435,1.140522
4,5,66.828456,66.828456,66.924043,304258.6919,0.950906,1172.498535,1172.498535,21.285499,6.407574,1.3e-05,1172.5,84.334709,A1,F1,use,1172.48_1172.51_1,0.000854,0.98476,1.349179
4,6,67.029268,66.999497,67.127086,391870.1237,0.91793,1172.497681,1172.497681,21.519212,6.477928,1.6e-05,1172.5,84.585784,A3,F1,use,1172.48_1172.51_1,0.000854,0.98476,1.349179
4,8,69.833797,69.78421,69.936786,4060716.822,0.855748,1176.747192,1176.747192,24.892499,7.493389,0.000164,1176.75,88.137752,A3,F1,use,1176.73_1176.76_1,0.000367,0.969444,1.163333
4,8,69.646987,69.64353,69.781796,2495591.024,0.932843,1176.747559,1176.747559,23.869408,7.185408,8.1e-05,1176.75,88.277604,A2,F1,use,1176.73_1176.76_1,0.000367,0.969444,1.163333
4,6,69.641349,69.608338,69.749814,2663478.1,0.92391,1176.751221,1176.751221,24.41544,7.34978,0.000118,1176.75,87.884462,A1,F1,use,1176.73_1176.76_1,0.004029,0.893155,1.071786
4,9,49.839369,49.737801,49.880631,1203518.71,0.971573,1177.563232,1177.563232,23.138023,6.965239,4.9e-05,1177.56,62.814582,A3,F1,use,1177.54_1177.57_0,0.003418,0.967088,1.160505
4,8,50.617742,50.544512,50.657173,1750547.261,0.974465,1177.559814,1177.559814,23.357833,7.031408,5.7e-05,1177.56,64.115913,A2,F1,use,1177.54_1177.57_0,0.003418,0.967088,1.160505
4,6,66.468835,66.408096,66.509327,3217417.985,0.966179,1184.852173,1184.852173,24.23593,7.295742,0.000104,1184.85,84.242261,A2,F1,use,1184.83_1184.86_1,0.0094,0.702589,0.843107
4,7,66.695646,66.675406,66.817084,8719466.989,0.912394,1184.842773,1184.842773,25.995004,7.825276,0.000353,1184.84,84.163248,A3,F1,use,1184.83_1184.86_1,0.0094,0.702589,0.843107
4,6,66.497396,66.478514,66.572923,2588868.275,0.968404,1184.853882,1184.853882,24.37445,7.337441,0.000115,1184.85,83.916925,A1,F1,use,1184.83_1184.86_1,0.011109,0.393038,0.471645
4,10,65.869867,65.856666,65.966672,2913836.803,0.942091,1186.748535,1186.748535,24.092947,7.2527,9.5e-05,1186.75,83.481744,A2,F1,use,1186.73_1186.76_0,0.001343,0.954261,1.145113
4,8,65.951388,65.940966,66.045181,1975542.627,0.855566,1186.747192,1186.747192,23.853013,7.180472,8e-05,1186.75,83.220637,A3,F1,use,1186.73_1186.76_0,0.001343,0.954261,1.145113
4,8,69.368261,69.30961,69.466012,5427295.718,0.88877,1191.83252,1191.83252,25.442362,7.658914,0.000241,1191.83,87.539836,A1,F1,use,1191.81_1191.84_1,0.000489,0.966615,1.159938
4,10,69.476157,69.438255,69.596181,10205036.35,0.921566,1191.832031,1191.832031,26.221974,7.893601,0.000413,1191.83,87.684796,A3,F1,use,1191.81_1191.84_1,0.000489,0.966615,1.159938
4,5,69.350725,69.288188,69.366791,7698497.254,0.922241,1191.831055,1191.831055,25.494604,7.67464,0.00025,1191.83,87.901436,A2,F1,use,1191.81_1191.84_1,0.000976,0.956859,1.148231
4,7,69.847768,69.781796,69.891749,3503066.708,0.886305,1196.266968,1196.266968,24.358645,7.332683,0.000114,1196.27,88.532539,A2,F1,use,1196.25_1196.28_1,0.000976,0.956641,1.147969
4,9,69.837221,69.728462,69.857255,3509014.294,0.921044,1196.262817,1196.262817,24.813194,7.469516,0.000156,1196.26,88.131644,A1,F1,use,1196.25_1196.28_1,0.005127,0.87505,1.05006
4,5,69.968434,69.910543,70.01264,2249781.839,0.925153,1196.267944,1196.267944,24.040549,7.236926,9.1e-05,1196.27,88.308271,A3,F1,use,1196.25_1196.28_1,0.005127,0.87505,1.05006
4,14,64.94446,64.915921,65.115696,5740156.988,0.909795,1207.353394,1207.353394,25.071117,7.547158,0.000186,1207.35,82.306742,A2,F1,use,1207.33_1207.36_0,0.0,0.977215,1.360101
4,8,64.924928,64.827869,64.983164,5698310.898,0.905727,1207.353394,1207.353394,25.512663,7.680077,0.000253,1207.35,81.932536,A1,F1,use,1207.33_1207.36_0,0.0,0.977215,1.172658
4,10,72.496017,72.492137,72.686151,24781890.91,0.926711,1224.365112,1224.365112,27.181241,8.182369,0.000804,1224.37,91.895056,A2,F1,use,1224.35_1224.38_1,0.008545,0.611006,0.733207
4,5,72.583633,72.572056,72.621251,2394152.196,0.876699,1224.373657,1224.373657,24.261643,7.303482,0.000106,1224.37,91.597501,A1,F1,use,1224.35_1224.38_1,0.008545,0.611006,0.733207
4,4,70.565042,70.547949,70.619171,7030457.412,0.996848,1224.369873,1224.369873,25.684383,7.73177,0.000285,1224.37,89.063882,A3,F1,use,1224.35_1224.38_1,0.003784,0.046887,0.056264
4,3,67.523119,67.492061,67.56035,1263321.02,0.92078,1239.074341,1239.074341,23.207985,6.9863,5.1e-05,1239.07,85.211252,A3,F1,use,1239.06_1239.09_0,0.001709,0.937891,1.12547
4,3,67.462759,67.41211,67.462759,561262.1922,0.942682,1239.07605,1239.07605,21.716774,6.5374,1.8e-05,1239.08,85.50426,A2,F1,use,1239.06_1239.09_0,0.001709,0.937891,1.12547
4,3,73.181087,73.181087,73.235752,273005.4596,0.85209,1263.584351,1263.584351,20.997766,6.320957,1.1e-05,1263.58,92.377132,A3,F1,use,1263.56_1263.59_0,0.009034,0.640794,0.768953
4,6,73.009141,73.004555,73.14212,209343.9954,0.852177,1263.575317,1263.575317,20.293974,6.109095,7e-06,1263.58,92.546577,A2,F1,use,1263.56_1263.59_0,0.009034,0.640794,0.768953
4,16,72.300501,72.204921,72.406142,30257719.27,0.952413,1264.598022,1264.598022,27.789996,8.365622,0.001226,1264.6,91.26186,A3,F1,use,1264.58_1264.61_1,0.004395,0.926092,1.28714
4,18,72.131601,72.044011,72.282892,20876100.91,0.907441,1264.602417,1264.602417,27.385909,8.24398,0.000926,1264.6,91.027055,A1,F1,use,1264.58_1264.61_1,0.00293,0.892008,1.070409
4,7,72.418914,72.406142,72.495545,6424531.012,0.843998,1264.599487,1264.599487,25.554355,7.692627,0.00026,1264.6,91.411832,A3,F1,use,1264.58_1264.61_2,0.001953,0.879149,1.240197
4,23,72.209561,72.108582,72.372504,34544478.32,0.926232,1264.60144,1264.60144,27.66041,8.326613,0.00112,1264.6,91.531339,A2,F1,use,1264.58_1264.61_2,0.001953,0.879149,1.054979
4,7,69.898845,69.814239,69.942988,3714237.461,0.944864,1286.825439,1286.825439,24.443093,7.358104,0.00012,1286.83,88.597392,A2,F1,use,1286.81_1286.84_1,0.000732,0.9525,1.143
4,6,69.86654,69.790747,69.899023,3613183.04,0.967552,1286.828491,1286.828491,24.855399,7.482221,0.00016,1286.83,88.168643,A1,F1,use,1286.81_1286.84_1,0.003784,0.895862,1.075034
4,6,70.009322,69.968434,70.091099,3598555.492,0.951235,1286.824707,1286.824707,24.718182,7.440914,0.000146,1286.82,88.360056,A3,F1,use,1286.81_1286.84_1,0.003784,0.895862,1.075034
4,4,73.563795,73.500406,73.579812,176391.4323,0.977676,1289.139038,1289.139038,20.367617,6.131264,7e-06,1289.14,92.861836,A3,F1,use,1289.12_1289.15_0,0.000122,0.962362,1.154834
4,3,73.443634,73.425755,73.481631,72423.39621,0.97336,1289.13916,1289.13916,18.762626,5.648113,2e-06,1289.14,93.098259,A2,F1,use,1289.12_1289.15_0,0.000122,0.962362,1.154834
