charge	Scan_Num	RT	RT_Calibrated	RTbegin	RTend	MaxInt	MaxInt_calibrated	SA	SACalibrated	goodness_fit	S/N	m/z
4	4	14.860343	14.860343	14.842628	14.875126	181925.4625	9231.983279	6766.593957	343.377345	0.991751	10.744978	486.223297
4	3	16.907954	16.907954	16.850301	16.907954	189473.1945	12250.95012	6949.162938	449.318695	0.946968	4.467936	487.232117
4	3	17.060665	17.060665	17.041407	17.079086	186800.0802	14154.73821	7039.80274	533.439626	0.97717	3.256563	509.469604
4	3	17.098025	17.098025	17.060665	17.098025	188215.0901	14043.80616	7207.363189	537.782658	0.96607	6.653723	513.218445
4	4	16.397361	16.397361	16.397361	16.45215	209022.0721	12757.69483	8675.353464	529.501554	0.962631	7.066616	507.217865
4	3	14.582595	14.582595	14.564051	14.582595	414695.9326	25139.18117	8794.062975	533.102751	0.832209	22.013286	532.731628
4	4	16.598305	16.598305	16.536006	16.598305	273636.7711	16188.65119	12183.00764	720.76008	0.941032	11.607381	519.987244
4	7	16.354001	16.354001	16.341337	16.45215	188774.4512	11186.68997	12958.26484	765.484134	0.975766	8.004636	507.223175
4	3	17.131559	17.131559	17.115386	17.14591	395968.8177	32882.31338	13244.77229	1099.881439	0.905925	13.243989	446.461853
4	4	14.286117	14.286117	14.280004	14.304716	568500.6993	27474.42003	14365.24653	694.241568	0.968898	38.701579	431.969086
4	4	14.286117	14.286117	14.280004	14.304716	561934.0352	27157.06723	15052.64776	727.462196	0.925751	22.992055	661.533691
4	4	15.642285	15.642285	15.642285	15.674299	414108.4557	24538.30621	15066.90388	892.800656	0.920409	17.945427	578.747498
4	3	16.633507	16.633507	16.598305	16.633507	449716.0895	27330.05709	15222.2986	925.086515	0.925588	17.031754	528.292664
4	3	16.938162	16.938162	16.920354	16.954558	467954.9773	33934.37108	16440.87636	1192.231788	0.925981	17.159765	515.53302
4	6	17.069921	17.128757	17.047507	17.131559	284037.9162	21356.40557	17458.71719	1364.356462	0.957533	10.60174	503.445923
4	3	14.605826	14.605826	14.564051	14.605826	358252.1196	21717.51452	17800.6724	1079.090228	0.856916	20.0391	468.227844
4	3	17.844199	17.844199	17.844199	17.870676	710123.0263	87864.76445	17891.14747	2213.702978	0.855601	7.957932	580.283936
4	3	17.098025	17.098025	17.079086	17.115386	431243.3573	34299.16148	18275.14552	1453.523067	0.895096	20.264854	408.201447
4	3	15.292999	15.292999	15.261766	15.292999	539988.2342	30693.35726	18680.99626	1061.842566	0.942484	32.245713	450.457336
4	4	14.072702	14.072702	14.072702	14.125697	290652.5009	13610.5128	19049.18081	892.024388	0.881375	14.138416	569.506836
4	3	15.906491	15.906491	15.906491	15.962086	306196.368	21439.31998	20363.71522	1425.830782	0.883089	4.54163	569.253235
4	5	17.131559	17.131559	17.098025	17.185239	257364.4927	21229.4393	20549.88656	1695.115612	0.970231	11.422905	570.255066
4	4	16.844184	16.844184	16.844184	16.920354	377088.7287	26835.23546	20776.84342	1478.568419	1	16.048109	446.96698
4	6	17.041165	17.041165	16.981445	17.066759	450305.6248	34166.01056	21607.48599	1543.640669	0.977876	15.635581	520.715393
4	3	16.989979	16.989979	16.926723	16.989979	302060.539	21512.75116	22837.62833	1626.495857	0.877528	19.179388	411.695221
4	11	17.02824	17.02824	16.920354	17.08518	247574.8485	18048.86175	24211.56025	1774.454857	0.985293	8.313658	486.97467
4	5	16.214282	16.214282	16.176892	16.220386	699260.2363	36939.26235	24931.00964	1317.010546	0.938865	25.391475	553.500793
4	7	16.850646	16.881874	16.819418	16.897488	449355.5778	30585.30815	25276.76123	1737.605114	0.984995	15.735304	476.404419
4	3	17.276826	17.276826	17.24363	17.276826	955177.6829	88516.14149	25447.71395	2358.235006	1	18.033714	504.962189
4	7	13.864862	13.864862	13.833506	13.879233	775409.0198	44153.25521	27056.06916	1471.376941	0.988383	29.469512	569.260254
4	3	49.841596	49.841596	49.77669	49.841596	549295.6267	397752.083	27093.53384	19618.77903	1	15.952744	599.311523
4	4	17.079086	17.079086	16.981445	17.079086	305042.4097	22854.75461	27294.58905	2044.998056	0.936186	16.108912	422.460175
4	6	17.050102	17.050102	16.981445	17.060665	467552.3074	33489.42539	27550.09016	2088.930422	0.973832	18.928163	449.974609
4	4	14.506756	14.506756	14.475113	14.519596	624403.6087	43854.7274	27799.11551	1952.4593	0.901991	32.298541	466.455231
4	6	16.703806	16.703806	16.651	16.764156	417823.5032	25160.93904	28452.56738	1784.360018	0.8131	18.974452	494.975464
4	3	17.38206	17.38206	17.369787	17.388139	1321533.924	287978.6281	28883.99521	6294.180695	0.940827	35.663612	379.968323
4	3	16.334872	16.334872	16.285725	16.361784	344813.2463	18333.3287	29003.69937	1542.093756	0.971268	18.413783	442.984833
4	5	14.799599	14.799599	14.759362	14.826599	410198.0444	23829.32755	29379.07456	1706.696558	0.913964	33.967186	422.9935
4	6	17.751312	17.749341	17.719782	17.7789	597666.131	87303.58641	29567.28913	4395.60017	0.934437	10.297531	503.443848
4	8	14.788237	14.786572	14.741623	14.808214	593203.5328	32638.41601	29752.16652	1671.975279	0.933041	30.126289	496.462006
4	7	16.941075	16.941075	16.8914	16.963843	532235.6101	38817.13915	31075.07677	2227.403344	0.937957	22.117912	509.499298
4	6	16.760559	16.766961	16.680533	16.776564	400449.6259	25683.61273	31309.91166	1952.411601	0.9627	39.023234	352.451782
4	5	17.098025	17.098025	17.041407	17.131559	361476.3407	27390.79645	31469.40607	2384.587866	0.957713	17.048154	437.742004
4	4	17.152006	17.152006	17.066759	17.152006	395328.3896	28968.15341	32658.42217	2393.084353	0.948889	12.886174	527.719604
4	6	15.619545	15.583812	15.54483	15.642285	416732.6888	28114.81663	32986.54124	2064.345564	0.859903	20.767598	501.477936
4	3	24.730136	24.730136	24.730136	24.78663	702170.875	722398.0195	33476.16306	34440.49698	0.984855	5.685914	429.202545
4	5	17.08518	17.08518	17.047507	17.14591	444539.3012	32122.21268	34092.03776	2463.475523	0.930276	13.222646	513.721619
4	7	14.46042	14.462869	14.389405	14.475113	543218.164	34012.09185	34676.99153	2007.751476	0.870708	10.184864	644.564941
4	7	17.249519	17.25162	17.203308	17.276826	775044.914	74579.78697	35665.84918	3459.051702	1	16.536048	513.721985
4	7	16.633666	16.633666	16.564328	16.651	743773.8944	43842.64011	36169.66797	2220.065174	0.933001	25.494181	547.291626
4	3	15.868358	15.868358	15.827171	15.912595	436978.4945	25836.84116	36391.55696	2151.691418	0.847936	15.133735	500.230621
4	9	14.570757	14.570757	14.564051	14.639488	641922.8518	39201.28452	36939.21885	2232.504924	0.95746	27.766559	507.442963
4	7	14.273153	14.273153	14.249104	14.298616	1018759.103	48710.45985	37077.24224	1823.393788	0.97734	39.203502	532.731995
4	3	61.445411	61.445411	61.445411	61.480675	2689817.575	2596349.011	38013.9522	36693.00405	0.940391	14.499146	742.597046
4	8	15.846579	15.846579	15.84386	15.952638	427983.4106	27609.17581	38275.74639	2519.904123	0.960988	18.926239	519.486816
4	8	16.393798	16.393798	16.321726	16.417822	612544.5246	37430.06133	41875.72761	2453.661612	0.962041	16.721082	545.989197
4	4	74.641408	74.641408	74.641408	74.728522	1010626.077	291835.4252	42530.47437	12281.39601	0.934278	31.260043	659.641663
4	8	15.449297	15.449297	15.367581	15.463718	516472.0549	32920.44653	43164.21517	2556.760037	1	31.288475	469.961914
4	8	14.471095	14.475312	14.435246	14.519596	672374.3986	46298.5788	44162.30277	2968.451243	0.96413	32.186325	426.92276
4	7	17.039191	17.039191	16.963843	17.041407	712200.2234	53349.8236	45509.08532	3438.67099	0.920462	28.640116	509.499054
4	10	16.102014	16.167533	16.080175	16.189372	525211.044	30993.34777	46002.24646	2658.02905	1	19.111385	561.738037
4	4	17.597483	17.597483	17.597483	17.639881	1288833.057	233019.8982	46037.24469	8323.493888	0.95545	39.295088	382.720428
4	3	59.075245	59.075245	59.075245	59.138132	709365.5438	435460.739	46413.12611	28491.79012	0.947612	9.78108	578.287659
4	13	16.390805	16.389	16.334872	16.45215	492886.8	31466.60602	46526.74638	2688.482685	0.954767	18.35824	503.443878
4	6	19.015982	19.015982	18.985374	19.050963	1127025.906	369605.8414	47325.82556	13868.16423	0.978927	10.183007	463.996124
