charge	Scan_Num	RT	RT_Calibrated	RTbegin	RTend	MaxInt	MaxInt_calibrated	SA	SACalibrated	goodness_fit	S/N	m/z
4	3	15.677628	15.677628	15.658901	15.686195	642234.044	46558.94186	23203.17308	1682.120711	0.864	24.508601	515.533569
4	11	15.652949	15.68759	15.597523	15.72454	1762486.412	134097.1982	169472.6423	12504.18516	0.985796	79.185801	423.229401
4	10	15.670057	15.670057	15.630285	15.740763	1109047.772	83033.13293	87490.14562	6495.256773	0.915653	30.950481	569.506592
4	4	15.740763	15.740763	15.710938	15.755032	672688.0846	50241.84664	31869.47629	2380.273082	0.927873	26.766445	456.698273
4	5	15.740763	15.740763	15.740763	15.875399	591000.9908	42320.15688	60483.06139	4331.046287	1	35.345108	446.965973
4	13	15.803152	15.803152	15.767484	15.912385	1003886.452	74108.32533	109711.5696	8539.008162	0.947288	31.514227	490.686768
4	8	15.869853	15.871702	15.838416	15.912385	498436.6845	38785.86945	24991.55904	2038.412465	0.954192	14.903211	503.445374
4	4	15.912385	15.912385	15.855098	15.912385	471987.3428	37907.58516	26834.95001	2155.24456	0.914992	16.725306	475.227814
4	8	15.913938	15.913938	15.803892	15.922861	814199.4357	67560.42852	69728.48428	5359.197135	0.963426	38.284735	411.696106
4	6	15.881903	15.881903	15.803892	15.893905	720700.0848	56614.92455	41898.37283	3234.558635	0.927737	13.667762	525.219299
4	8	15.929022	15.907561	15.893905	15.971942	544787.9945	45589.84422	30861.97588	2641.613446	0.98778	20.186482	525.219299
4	14	15.917829	15.917829	15.777967	16.000475	421089.0263	35542.06902	54150.98219	4439.199322	0.987444	11.935345	486.975494
4	6	15.953494	15.950557	15.912385	16.000475	321038.0906	27986.34395	22915.47099	1924.261398	0.995133	8.63922	519.488098
4	5	15.95769	15.95769	15.941538	16.000475	543382.5057	47386.6317	28479.78012	2483.629556	0.92766	19.71559	446.461243
4	20	15.880701	15.880701	15.789563	16.006559	7621868.854	617813.1587	740274.4236	60732.06021	0.997106	195.247728	483.731293
