charge	Scan_Num	RT	RT_Calibrated	RTbegin	RTend	MaxInt	MaxInt_calibrated	SA	SACalibrated	goodness_fit	S/N	m/z
4	3	15.515096	15.515096	15.476259	15.515096	188247.7762	19402.98662	4724.845316	486.997043	1	4.767619	569.260437
4	3	15.15847	15.15847	15.15847	15.191332	234110.8336	20626.50517	8991.354899	792.189859	0.861867	6.996973	457.220642
4	3	15.298269	15.298269	15.292179	15.308698	749816.2094	69698.47643	10294.36182	956.90294	1	18.779699	519.530823
4	3	15.488542	15.488542	15.488542	15.538187	190308.5418	19263.94796	10622.71226	1075.28214	0.897534	19.450699	467.210022
4	3	13.807106	13.807106	13.781875	13.807106	582527.6717	38744.77364	16510.24974	1098.121033	0.871245	33.168762	432.447815
4	4	15.476259	15.476259	15.407249	15.476259	288575.2586	26926.86933	11839.7225	1104.760894	0.981827	8.303725	442.71637
4	3	15.002549	15.002549	14.957149	15.017246	245254.8439	17782.39878	15450.89054	1120.279187	0.919587	8.753585	450.459167
4	3	15.044709	15.044709	15.044709	15.06204	583730.2954	57329.63027	12510.53157	1228.690981	0.936888	21.041021	416.69046
4	7	14.911713	14.911713	14.857167	14.963228	246278.4397	16853.75565	20068.08486	1372.256858	0.940356	5.491488	506.966919
4	3	15.843372	15.843372	15.843372	15.861126	645897.808	64973.12222	14075.15373	1415.869	0.927406	19.279033	441.454803
4	5	14.992126	14.992126	14.957149	15.002549	776408.0025	56294.08371	20440.93164	1482.086111	1	36.187381	451.467316
4	3	15.298269	15.298269	15.281756	15.298269	874950.7992	85948.01563	15444.78463	1517.169413	0.783693	10.689245	686.572388
4	3	15.538187	15.538187	15.515096	15.538187	705356.5522	69500.10367	15722.72099	1549.18918	0.994492	25.86514	509.972839
4	3	14.986051	14.986051	14.971795	15.017246	787626.6655	55686.27443	23017.95184	1627.400441	0.948938	33.353853	451.214478
4	4	14.942816	14.942816	14.909745	14.942816	884185.2593	57347.59757	25293.19546	1640.497824	0.931523	32.863945	489.490143
4	4	16.187433	16.187433	16.156461	16.220448	263212.0813	37894.05143	11624.0965	1673.495034	0.973927	6.037357	495.763702
4	3	15.843372	15.843372	15.779345	15.843372	485761.7868	38312.31066	24018.50331	1894.353128	1	18.598809	548.219788
4	4	14.897314	14.897314	14.877575	14.909745	834891.5944	55785.88764	28523.47035	1905.884695	0.887025	39.000847	440.717804
4	6	15.54446	15.54446	15.521177	15.579385	545797.6416	52450.34289	19827.60488	1933.673259	0.977218	15.153753	503.444519
4	5	15.548621	15.548621	15.548621	15.59611	735929.4782	70748.84428	20601.21668	1980.505352	1	30.825001	520.473389
4	8	14.004197	14.005529	13.980208	14.033516	766034.7453	44330.20777	34780.01709	2015.499771	0.969417	33.362049	503.198181
4	5	15.124785	15.124785	15.044709	15.124785	449426.8393	44139.3478	22066.98549	2167.254517	1	29.766466	447.21283
4	5	15.267011	15.267011	15.191332	15.281756	501222.181	41827.77109	27159.25158	2266.481814	0.989669	16.721216	442.713562
4	15	15.591455	15.591455	15.538187	15.787879	218512.8246	20004.79739	27668.91991	2375.992644	0.973856	7.232173	442.714905
4	4	15.017246	15.017246	14.986051	15.033005	707901.5079	52417.73476	32534.67132	2409.0834	0.954588	20.126732	501.477936
4	6	15.588387	15.588387	15.538187	15.59611	646065.8863	61947.98717	26491.72396	2535.007301	0.904452	17.525667	519.467651
4	5	13.953313	13.953313	13.918809	13.980208	750339.2924	41029.05142	46535.09458	2544.569913	0.947281	34.146865	503.197906
