time,mz,charge,intensity,quality,width,rt_start,rt_end,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,Ttime,sample,fraction,status,group,mz_error,score,adj_score
65.855801,1186.746243,4,69768670.0,0.837688,7.142981,65.783929,65.931511,1186.746243,25.306958,1186.75,7.618153,0.000132,82.856856,A1,F1,use,1186.73_1186.76_0,0.001947,0.877986,1.053584
65.966737,1186.744296,4,67907920.0,0.822675,8.094224,65.885106,65.997115,1186.744296,25.332757,1186.74,7.62592,0.000134,82.090497,A3,F1,use,1186.73_1186.76_0,0.001947,0.877986,1.053584
70.010368,1190.314655,4,74567220.0,0.780737,8.013268,69.984312,70.114645,1190.314655,25.119544,1190.31,7.561736,0.000116,88.67807,A2,F1,use,1190.31_1190.34_0,0.001081,0.899531,1.079437
69.916051,1190.315736,4,73950660.0,0.765884,8.192019,69.825203,70.012001,1190.315736,25.390942,1190.32,7.643435,0.00014,87.965283,A1,F1,use,1190.31_1190.34_0,0.001081,0.899531,1.079437
69.36295,1191.830414,4,472671800.0,0.831969,7.268884,69.288188,69.462967,1191.830414,27.783769,1191.83,8.363748,0.000735,87.851812,A2,F1,use,1191.81_1191.84_1,0.000447,0.930343,1.116412
69.374187,1191.830861,4,238773200.0,0.882994,6.265974,69.30961,69.466012,1191.830861,27.081948,1191.83,8.152479,0.000452,87.283533,A1,F1,use,1191.81_1191.84_1,0.000447,0.930343,1.116412
69.492661,1191.830193,4,387535300.0,0.88457,7.402836,69.411945,69.61671,1191.830193,27.845433,1191.83,8.382311,0.000767,86.453911,A3,F1,use,1191.81_1191.84_1,0.000668,0.882713,1.059256
64.965647,1192.3575,4,89269680.0,0.836616,12.579744,64.944553,65.029178,1192.3575,25.662549,1192.36,7.725197,0.000169,81.736903,A1,F1,use,1192.34_1192.37_0,0.003645,0.891144,1.069373
65.277034,1192.353855,4,86180080.0,0.709157,9.049177,65.170198,65.354206,1192.353855,25.676532,1192.35,7.729406,0.000171,81.236974,A3,F1,use,1192.34_1192.37_0,0.003645,0.891144,1.069373
69.842753,1196.267512,4,183741300.0,0.880355,7.645176,69.781796,69.926215,1196.267512,26.420606,1196.27,7.953395,0.000286,88.464153,A2,F1,use,1196.25_1196.28_1,0.000237,0.92894,1.114729
69.824153,1196.267275,4,193899700.0,0.869095,7.115852,69.728462,69.879213,1196.267275,26.781617,1196.27,8.06207,0.000367,87.849661,A1,F1,use,1196.25_1196.28_1,0.000237,0.92894,1.114729
69.969571,1196.26688,4,114337100.0,0.826581,8.166039,69.855245,70.027696,1196.26688,26.084399,1196.27,7.852187,0.000226,87.044098,A3,F1,use,1196.25_1196.28_1,0.000395,0.894836,1.073803
65.199889,1207.599409,4,148732600.0,0.755073,13.649875,65.050791,65.325538,1207.599409,26.463826,1207.6,7.966406,0.000294,81.141504,A3,F1,use,1207.58_1207.61_0,0.000284,0.85481,1.025772
64.981837,1207.599125,4,175850500.0,0.747501,14.086664,64.882382,65.041645,1207.599125,26.357279,1207.6,7.934332,0.000273,82.260485,A2,F1,use,1207.58_1207.61_0,0.000284,0.85481,1.025772
72.959557,1224.365947,4,61141720.0,0.778705,9.295925,72.932864,73.046554,1224.365947,25.181334,1224.37,7.580337,0.000121,90.744276,A3,F1,use,1224.35_1224.38_1,0.000295,0.837413,1.191863
72.527983,1224.366242,4,360368400.0,0.870133,19.1525,72.524481,72.771935,1224.366242,27.675779,1224.37,8.33124,0.000682,91.2515,A1,F1,use,1224.35_1224.38_1,0.000295,0.837413,1.004896
64.579627,1241.347917,4,213649200.0,0.861595,13.655677,64.429585,64.739291,1241.347917,26.921551,1241.35,8.104194,0.000404,81.25123,A1,F1,use,1241.33_1241.36_1,0.000217,0.952127,1.142552
64.554223,1241.3477,4,196631000.0,0.823462,11.807199,64.584085,64.706379,1241.3477,26.518421,1241.35,7.98284,0.000306,81.71475,A2,F1,use,1241.33_1241.36_1,0.000217,0.952127,1.142552
64.880026,1241.347763,4,229907400.0,0.853039,11.957653,64.725446,64.948033,1241.347763,27.092158,1241.35,8.155552,0.000455,80.745666,A3,F1,use,1241.33_1241.36_1,0.000154,0.951426,1.141712
69.91505,1252.084057,4,62624200.0,0.852868,6.569863,69.855866,70.004808,1252.084057,24.867722,1252.08,7.48593,9.7e-05,88.556422,A2,F1,use,1252.06_1252.09_0,0.000652,0.903143,1.083772
69.854567,1252.084709,4,37522980.0,0.824775,5.596385,69.790747,69.838428,1252.084709,24.412153,1252.08,7.34879,7.1e-05,87.887926,A1,F1,use,1252.06_1252.09_0,0.000652,0.903143,1.083772
72.228616,1264.594456,4,1161251000.0,0.900496,12.47611,72.044072,72.394919,1264.594456,29.080538,1264.59,8.754114,0.001805,91.509074,A2,F1,use,1264.57_1264.6_1,0.000194,0.897089,1.076506
72.152746,1264.59465,4,818843900.0,0.891861,11.73625,71.952358,72.325425,1264.59465,28.859895,1264.59,8.687694,0.001549,90.779393,A1,F1,use,1264.57_1264.6_1,0.000194,0.897089,1.076506
72.345613,1264.594772,4,1329099000.0,0.875412,12.605443,72.146132,72.552132,1264.594772,29.623482,1264.59,8.917557,0.00263,89.984505,A3,F1,use,1264.57_1264.6_1,0.000122,0.883247,1.059896
69.001488,1277.139622,4,117089700.0,0.770135,7.321583,68.953197,69.060757,1277.139622,26.11872,1277.14,7.862518,0.000232,85.846072,A3,F1,use,1277.12_1277.15_0,0.001906,0.67325,0.8079
68.735045,1277.141528,4,98231320.0,0.784573,9.162033,68.679452,68.795072,1277.141528,25.517185,1277.14,7.681438,0.000153,87.050459,A2,F1,use,1277.12_1277.15_0,0.001906,0.67325,0.8079
69.871699,1286.819211,4,166781400.0,0.858968,6.292354,69.766979,69.978339,1286.819211,26.564265,1286.82,7.996641,0.000316,87.909481,A1,F1,use,1286.81_1286.84_1,4.1e-05,0.921528,1.105834
69.907129,1286.81917,4,221707600.0,0.825093,9.012764,69.781796,70.052322,1286.81917,26.691588,1286.82,8.034969,0.000345,88.546312,A2,F1,use,1286.81_1286.84_1,4.1e-05,0.921528,1.105834
70.045307,1286.818963,4,205186800.0,0.810689,11.210061,69.910543,70.197848,1286.818963,26.928043,1286.82,8.106149,0.000406,87.137822,A3,F1,use,1286.81_1286.84_1,0.000248,0.893599,1.072319
65.543591,1304.633198,4,60809430.0,0.832404,9.299305,65.438993,65.677719,1304.633198,25.108674,1304.63,7.558464,0.000115,82.464047,A1,F1,use,1304.61_1304.64_0,0.000426,0.930405,1.116486
